num_prefixes,prefix_len,topk,suffix_len,batch_size,flat_ms,cascade_ms,ml_cascade_ms,fasttree_ms,deft_ms,fastest,speedup_over_flat,cascade_vs
1,2048,8,5,8,0.024512000381946564,0.019999999552965164,0.05657599866390228,0.020959999412298203,0.02316799946129322,cascade,1.23,4.6
1,2048,16,5,16,0.03142400085926056,0.020608000457286835,0.06323199719190598,0.023391999304294586,0.02380800060927868,cascade,1.52,11.9
1,8192,8,5,8,0.05084799975156784,0.03200000151991844,0.14321599900722504,0.04032000154256821,0.044863998889923096,cascade,1.59,20.6
1,8192,16,5,16,0.07840000092983246,0.03302399814128876,0.14934399724006653,0.04278400167822838,0.04899200052022934,cascade,2.37,22.8
1,16384,8,5,8,0.08105599880218506,0.04940799996256828,0.2563199996948242,0.06748799979686737,0.08407999947667122,cascade,1.64,26.8
1,16384,16,5,16,0.13681600242853165,0.049984000623226166,0.26307201385498047,0.07023999840021133,0.09055999666452408,cascade,2.74,28.8
1,32768,8,5,8,0.14211200177669525,0.06976000219583511,0.49375998973846436,0.11868800222873688,0.1544319987297058,cascade,2.04,41.2
1,32768,16,5,16,0.2531839907169342,0.070592001080513,0.49775999784469604,0.12454400211572647,0.17126399278640747,cascade,3.59,43.3
4,2048,8,5,32,0.04668800160288811,0.032416000962257385,0.07689599692821503,0.042047999799251556,0.04825599864125252,cascade,1.44,22.9
4,2048,16,5,64,0.08191999793052673,0.04665600135922432,0.10175999999046326,0.04912000149488449,0.06867200136184692,cascade,1.76,5.0
4,8192,8,5,32,0.13398399949073792,0.06937599927186966,0.1685439944267273,0.08534400165081024,0.1236800029873848,cascade,1.93,18.7
4,8192,16,5,64,0.273824006319046,0.09033600240945816,0.1913599967956543,0.08835200220346451,0.1605760008096695,fasttree,3.1,-2.2
4,16384,8,5,32,0.24832000583410263,0.13340799510478973,0.2832320034503937,0.1480640023946762,0.2399359941482544,cascade,1.86,9.9
4,16384,16,5,64,0.5251680016517639,0.1408960074186325,0.30803200602531433,0.15385599434375763,0.2842240035533905,cascade,3.73,8.4
4,32768,8,5,32,0.47542400658130646,0.2163199931383133,0.534032016992569,0.230880007147789,0.4573119878768921,cascade,2.2,6.3
4,32768,16,5,64,1.039680004119873,0.2250239998102188,0.5526560246944427,0.24544000625610352,0.5360000133514404,cascade,4.62,8.3
8,2048,8,5,64,0.0880960002541542,0.05193600058555603,0.1351040005683899,0.07046400010585785,0.09126400202512741,cascade,1.7,26.3
8,2048,16,5,128,0.15619200468063354,0.07100799679756165,0.18281599879264832,0.07913599908351898,0.1367039978504181,cascade,2.2,10.3
8,8192,8,5,64,0.2812480032444,0.1383039951324463,0.31254398822784424,0.150176003575325,0.24035200476646423,cascade,2.03,7.9
8,8192,16,5,128,0.5550400018692017,0.14585599303245544,0.36083200573921204,0.1595040038228035,0.32124799489974976,cascade,3.81,8.6
8,16384,8,5,64,0.5451680123806,0.21775999665260315,0.5667680203914642,0.23199999332427979,0.4501439929008484,cascade,2.5,6.1
8,16384,16,5,128,1.0747199654579163,0.22828799486160278,0.6292160153388977,0.2532159984111786,0.5573440194129944,cascade,4.71,9.8
8,32768,8,5,64,1.0804479718208313,0.41462400555610657,1.099776029586792,0.4394240081310272,0.8741440176963806,cascade,2.61,5.6
8,32768,16,5,128,2.127071976661682,0.4327999949455261,1.171567976474762,0.4726400077342987,1.040607988834381,cascade,4.91,8.4
