num_prefixes,prefix_len,topk,suffix_len,batch_size,flat_ms,cascade_ms,ml_cascade_ms,fasttree_ms,deft_ms,fastest,speedup_over_flat,cascade_vs
1,2048,8,5,8,0.024447999894618988,0.020255999639630318,0.06176000088453293,0.022655999287962914,0.027327999472618103,cascade,1.21,10.6
1,2048,16,5,16,0.03209599852561951,0.021215999498963356,0.07436800003051758,0.02908799983561039,0.029888000339269638,cascade,1.51,27.1
1,8192,8,5,8,0.05110400170087814,0.03268799930810928,0.14860799908638,0.043807998299598694,0.05696000158786774,cascade,1.56,25.4
1,8192,16,5,16,0.07859200239181519,0.04214400053024292,0.16047999262809753,0.0480320006608963,0.0644799992442131,cascade,1.86,12.3
1,16384,8,5,8,0.08102399855852127,0.049695998430252075,0.2611840069293976,0.07264000177383423,0.10527999699115753,cascade,1.63,31.6
1,16384,16,5,16,0.13619199395179749,0.0575999990105629,0.2772800028324127,0.08103999868035316,0.1210239976644516,cascade,2.36,28.9
1,32768,8,5,8,0.14214399456977844,0.07065600156784058,0.4955199956893921,0.13040000200271606,0.19791999459266663,cascade,2.01,45.8
1,32768,16,5,16,0.25468799471855164,0.12105599790811539,0.5069760084152222,0.14044800400733948,0.22486400604248047,cascade,2.1,13.8
4,2048,8,5,32,0.04662400111556053,0.03497600182890892,0.13068799674510956,0.05660799890756607,0.06566400080919266,cascade,1.33,25.0
4,2048,16,5,64,0.08163200318813324,0.05023999884724617,0.17388799786567688,0.07199999690055847,0.10347199812531471,cascade,1.62,30.2
4,8192,8,5,32,0.13318400084972382,0.07152000069618225,0.30745598673820496,0.1064319983124733,0.17535999417304993,cascade,1.86,32.8
4,8192,16,5,64,0.2746239900588989,0.12336000055074692,0.35550400614738464,0.11542399972677231,0.25203201174736023,fasttree,2.38,-6.9
4,16384,8,5,32,0.2502560019493103,0.13967999815940857,0.5422559976577759,0.18403199315071106,0.3364799916744232,cascade,1.79,24.1
4,16384,16,5,64,0.5258240103721619,0.1926880031824112,0.5891199707984924,0.2017280012369156,0.4328959882259369,cascade,2.73,4.5
4,32768,8,5,32,0.48425599932670593,0.22419199347496033,1.033247947692871,0.3423359990119934,0.6458879709243774,cascade,2.16,34.5
4,32768,16,5,64,1.0481280088424683,0.38332799077033997,1.0835840106010437,0.37136000394821167,0.8032320141792297,fasttree,2.82,-3.2
8,2048,8,5,64,0.08931200206279755,0.05459199845790863,0.240447998046875,0.09814400225877762,0.13212800025939941,cascade,1.64,38.9
8,2048,16,5,128,0.1570879966020584,0.1499200016260147,0.3341439962387085,0.1103999987244606,0.21036800742149353,fasttree,1.42,-35.8
8,8192,8,5,64,0.2828800082206726,0.14281600713729858,0.59334397315979,0.18934400379657745,0.35305601358413696,cascade,1.98,24.6
8,8192,16,5,128,0.5564320087432861,0.19571200013160706,0.6947839856147766,0.2133760005235672,0.49564799666404724,cascade,2.84,8.3
8,16384,8,5,64,0.5458079874515533,0.22390399873256683,1.1018239855766296,0.34750398993492126,0.6491519808769226,cascade,2.44,35.6
8,16384,16,5,128,1.0753120183944702,0.36631999909877777,1.1630079746246338,0.381087988615036,0.8515200018882751,cascade,2.94,3.9
8,32768,8,5,64,1.0841599702835083,0.43112000823020935,2.128975987434387,0.658240020275116,1.244704008102417,cascade,2.51,34.5
8,32768,16,5,128,2.1224160194396973,0.7453440129756927,2.264512062072754,0.7241600155830383,1.579967975616455,fasttree,2.93,-2.9
