num_prefixes,prefix_len,topk,suffix_len,batch_size,flat_ms,cascade_ms,ml_cascade_ms,fasttree_ms,deft_ms,fastest,speedup_over_flat,cascade_vs
1,2048,8,1-16 avg,8,0.024338999879546463,0.019846000242978334,0.05597799993120134,0.020845000282861292,0.023139999888371676,cascade,1.23,4.8
1,2048,16,1-16 avg,16,0.03119799983687699,0.020499999984167516,0.06244800053536892,0.023144000093452632,0.02397400001063943,cascade,1.52,11.4
1,4096,8,1-16 avg,8,0.03305599954910576,0.023164000012911856,0.08427600096911192,0.027411999879404902,0.027507999795489013,cascade,1.43,15.5
1,4096,16,1-16 avg,16,0.04674000036902726,0.023948999936692417,0.09084300068207085,0.028750000172294676,0.031347999814897776,cascade,1.95,16.7
1,8192,8,1-16 avg,8,0.0505480004940182,0.03180799982510507,0.14237899845466018,0.04033700097352266,0.04516600049100816,cascade,1.59,21.1
1,8192,16,1-16 avg,16,0.07820599945262074,0.03276000008918345,0.14964100159704685,0.04273799969814718,0.04953399975784123,cascade,2.39,23.3
1,16384,8,1-16 avg,8,0.08067100052721798,0.04880400048568845,0.2566550001502037,0.06753800017759204,0.08423800067976117,cascade,1.65,27.7
1,16384,16,1-16 avg,16,0.13682799879461527,0.049552999436855316,0.26234499737620354,0.07032199902459979,0.09073099796660244,cascade,2.76,29.5
1,32768,8,1-16 avg,8,0.14463599817827344,0.06963000120595098,0.4898889996111393,0.11937199998646975,0.15369300171732903,cascade,2.08,41.7
1,32768,16,1-16 avg,16,0.26141900382936,0.07050000037997961,0.49663199856877327,0.1247610014397651,0.16917699854820967,cascade,3.71,43.5
8,2048,8,1-16 avg,64,0.08890599990263581,0.051999999675899744,0.13416400086134672,0.07078000018373132,0.09171999990940094,cascade,1.71,26.5
8,2048,16,1-16 avg,128,0.15796300023794174,0.07105599902570248,0.18171099992468953,0.07828400051221251,0.13736999919638038,cascade,2.22,9.2
8,4096,8,1-16 avg,64,0.15413000108674169,0.10488500003702939,0.19452200084924698,0.08592100045643747,0.13801399990916252,fasttree,1.79,-22.1
8,4096,16,1-16 avg,128,0.2973119979724288,0.147491998039186,0.24226199928671122,0.09484699950553477,0.2015109988860786,fasttree,3.13,-55.5
8,8192,8,1-16 avg,64,0.2841969970613718,0.1392520028166473,0.31146299839019775,0.14960499946027994,0.24026100058108568,cascade,2.04,6.9
8,8192,16,1-16 avg,128,0.5610400065779686,0.14612300088629127,0.3598640002310276,0.16106899781152606,0.3227199958637357,cascade,3.84,9.3
8,16384,8,1-16 avg,64,0.5464600026607513,0.21628799848258495,0.5670469962060452,0.23269999958574772,0.44974800013005733,cascade,2.53,7.1
8,16384,16,1-16 avg,128,1.0910800024867058,0.22671900037676096,0.624243002384901,0.2523419978097081,0.5581900030374527,cascade,4.81,10.2
8,32768,8,1-16 avg,64,1.0886609964072704,0.4159199995920062,1.0909279957413673,0.4409540006890893,0.8698690012097359,cascade,2.62,5.7
8,32768,16,1-16 avg,128,2.189387023448944,0.43282500095665455,1.1634300015866756,0.4735219990834594,1.0380700007081032,cascade,5.06,8.6
