num_prefixes,prefix_len,topk,suffix_len,batch_size,flat_ms,cascade_ms,ml_cascade_ms,fasttree_ms,deft_ms,fastest,speedup_over_flat,cascade_vs
1,2048,8,1-16 avg,8,0.02464599977247417,0.02043000003322959,0.06250000046566129,0.022710000164806843,0.027364999637939036,cascade,1.21,10.0
1,2048,16,1-16 avg,16,0.03197600017301738,0.02113400027155876,0.0752200004644692,0.028955000336281955,0.030098999734036624,cascade,1.51,27.0
1,4096,8,1-16 avg,8,0.03343400009907782,0.0238220002502203,0.09103599982336164,0.029929000011179596,0.03272600006312132,cascade,1.4,20.4
1,4096,16,1-16 avg,16,0.04757600068114698,0.027544000069610775,0.10393800027668476,0.03272799961268902,0.041008999571204185,cascade,1.73,15.8
1,8192,8,1-16 avg,8,0.05096400040201843,0.032441999996080995,0.14870700053870678,0.04386600013822317,0.05722400010563433,cascade,1.57,26.0
1,8192,16,1-16 avg,16,0.07902999874204397,0.04210800025612116,0.16160600073635578,0.048077999614179134,0.06441699876450002,cascade,1.88,12.4
1,16384,8,1-16 avg,8,0.08122499915771186,0.04978300002403557,0.26222899928689003,0.07266000099480152,0.10551399923861027,cascade,1.63,31.5
1,16384,16,1-16 avg,16,0.13784400140866637,0.05789799988269806,0.2774739982560277,0.08111199922859669,0.1211449985858053,cascade,2.38,28.6
1,32768,8,1-16 avg,8,0.14498299919068813,0.07040199963375926,0.4950299998745322,0.13064499804750085,0.19951199973002076,cascade,2.06,46.1
1,32768,16,1-16 avg,16,0.2636799970641732,0.12065200135111809,0.5087959952652454,0.14065600046887994,0.22694399999454618,cascade,2.19,14.2
8,2048,8,1-16 avg,64,0.08912700018845499,0.05473500001244247,0.24203399801626801,0.09850199962966144,0.1329810000024736,cascade,1.63,38.6
8,2048,16,1-16 avg,128,0.1588769988156855,0.09327099961228669,0.33237999957054853,0.10957800038158894,0.21232099924236536,cascade,1.7,14.9
8,4096,8,1-16 avg,64,0.15419399831444025,0.10791999939829111,0.3574420027434826,0.11091199889779091,0.205120000988245,cascade,1.43,2.7
8,4096,16,1-16 avg,128,0.2970509994775057,0.12997200153768063,0.44788400176912546,0.12630599923431873,0.30991300102323294,fasttree,2.35,-2.9
8,8192,8,1-16 avg,64,0.28492799773812294,0.14337800163775682,0.5918100010603666,0.18887799885123968,0.35244000144302845,cascade,1.99,24.1
8,8192,16,1-16 avg,128,0.5616339985281229,0.19323399849236012,0.6964069940149784,0.2115890011191368,0.4955759970471263,cascade,2.91,8.7
8,16384,8,1-16 avg,64,0.5477829985320568,0.22484999941661954,1.096932988613844,0.3458660040050745,0.6474700048565865,cascade,2.44,35.0
8,16384,16,1-16 avg,128,1.091422002762556,0.3646030006930232,1.2125799879431725,0.3821139996871352,0.854172995314002,cascade,2.99,4.6
8,32768,8,1-16 avg,64,1.087218001484871,0.4292760016396642,2.11922400444746,0.6580600012093782,1.2507989965379238,cascade,2.53,34.8
8,32768,16,1-16 avg,128,2.1883130073547363,0.7333360016345978,2.2512299939990044,0.7162729986011982,1.5800210051238537,fasttree,3.06,-2.4
